bridge-utils,1.0.6,488
igmpproxy,0.1,406
udpxy,1.0,332
dropbear,2017.75,302
busybox,1.21.1,288
iptables,1.3.8,269
ipset,4.5,266
comgt,0.32,263
openssl,1.0.2,243
poptop,1.3.4,241
dnsmasq,2.71,217
p910nd,0.95,194
busybox,1.01,186
poptop,0.8.5,182
bridge-utils,1.5,168
apstats,0.1,167
ntfs-3g,2013.1.13,158
tcpdump,4.9.2,146
curl,7.59.0,144
busybox,1.19.4,141
iperf,2.0.5,141
wpa_supplicant,0.5.9,141
busybox,1.23.2,128
tcpdump,4.5.1,128
radvd,1.7,124
opkg,0.1.8,118
net-snmp,5.7.3,116
pppoe,3.8,115
curl,7.29.0,104
curl,7.71.1,99
openssl,1.0.1,94
busybox,1.22.1,92
tor,0.2.4.20,92
dnsmasq,2.78,90
radvd,1.5,90
busybox,1.19.2,89
lzma,4.65,82
net-snmp,5.7.2,80
mtd-utils,1.5.0,78
bluemoon,5.38,74
dnrd,2.20.3,74
wpa_supplicant,2.7,73
dnsmasq,2.69,72
ethtool,4.8,71
portmap,6.0,68
nfs-utils,1.1.5,67
dnsmasq,2.62,66
busybox,1.20.2,65
wpa_supplicant,2.0,65
bridge-utils,1.2,65
openssl,0.9.8,62
dropbear,2011.54,62
dnscrypt-proxy,1.4.1,62
hostip,1.4.1,62
ate daemon,1.2.2,61
dnscrypt-proxy,1.4.0,60
hostip,1.4.0,60
dnsmasq,2.80,59
busybox,1.13.0,58
ipset,6.32,57
lldp,1.0.1,57
mtd-utils,2.0.2,55
avahi,0.6.31,55
lrzsz,0.12.20,55
sysstat,10.1.1,53
zic.c,8.25,52
iw,4.9,51
mdadm,2.6,48
tcpdump,3.9.8,45
ntfs-3g,2015.3.14,44
iptables,1.4.4,44
bootlogd,2.86,44
mtd-utils,1.5.1,42
ntfs-3g,2012.1.15,42
dropbear,2019.78,42
proftpd,1.3.4,42
busybox,1.00,41
busybox,1.7.2,41
xl2tpd,0.5,41
newfs_hfs,3014.7.28,41
curl,7.52.1,41
jq,1.5,41
iptables,1.4.6,39
ez-ipupdate,3.0.11,39
busybox,1.12.1,38
igmpproxy,0.1.2,38
mtd-utils,1.5.2,38
ndp proxy,0.2.4,38
dnscrypt-proxy,1.3.4,38
hostip,1.3.4,38
busybox,1.24.1,37
util-linux,2.29.2,37
sample.bin,1.0.8,37
dropbear,2016.74,37
busybox,1.24.2,36
quagga,0.99.24,36
sd-idle,1.00,36
shn_ctrl,1.0.8,36
netatalk,3.0.5,35
uniconv,3.0.5,35
busybox,1.11.2,34
lighttpd,1.4.39,34
iptables,1.3.7,34
iptables,1.4.0,34
dbd,3.0.5,34
wred,1.0.1,34
xl2tpd,0.4,33
mmc-utils,4.5,33
ntp,4.2.8,32
ppp,2.4.7,32
iptables,1.4.10,32
avahi,0.7,32
netatalk,3.1.8,32
procps,3.3.11,32
wpa_supplicant,2.8,31
poptop,1.7.0,31
e2fsprogs,1.42.13,31
npd6,1.1.0,31
busybox,1.13.4,30
wpa_supplicant,0.6.10,30
transmission,2.84,30
wget,1.20.1,29
socat,1.7.3.2,29
conntrack,1.0.0,29
nginx,1.5.11,29
dnsmasq,2.15,28
transmission,2.83,28
radvd,0.9.1,27
iw,4.1,27
updatedd,2.5,26
conntrack,1.4.5,26
sysstat,8.0.1,26
busybox,1.16.1,25
wpa_supplicant,2.5,25
ntfs-3g,2017.3.23,25
radvd,1.3,25
e2fsprogs,1.41.11,25
dropbear,2018.76,25
libfuse,2.7.3,25
memtester,4.0.6,25
pppoe,3.5,24
util-linux,2.25.2,23
tcpdump,4.2.1,23
wpa_supplicant,2.6,23
rfdformat,2.0.2,23
mkfatfs,3014.9.11,23
dropbear,2012.55,23
dnrd,2.19,23
arp,1.88,23
busybox,1.18.5,22
poptop,1.7.2,22
bridge-utils,1.0.4,22
curl,7.57.0,22
strace,4.5.18,22
transmission,2.82,22
iperf,3.1.3,21
openssl,1.1.1,21
arptables,0.0.3,21
