360,1470,343
asus,10911,2980
buffalo,280,81
dlink,16034,2113
foscam,45,16
linksys,3118,641
mercury,43,12
mikrotik,3994,262
netgear,17083,2910
qnap,509,147
supermicro,8577,1120
synology,3138,423
tenda,7450,2213
tomato-shibby,16128,7469
tp-link,43500,9474
trendnet,6397,1933
ubiquiti,132116,7682
xerox,2593,164
