iptables,1.4.6,3,39,7
iptables,1.2.8,2,10,8
iptables,1.4.0,3,34,7
iptables,1.3.7,2,35,7
iptables,1.4.5,2,5,7
iptables,1.4.3.1,1,2,7
iptables,1.3.3,1,4,7
iptables,1.2.7,1,4,8
iptables,1.2.6,1,1,8
quagga,0.99.21,2,3,13
quagga,0.99.24,1,36,9
quagga,0.99.20,1,1,16
avahi,0.6.31,4,55,4
avahi,0.7,1,32,4
avahi,0.6.30,3,12,4
avahi,0.6.25,2,11,6
avahi,0.6.32,1,1,4
poptop,0.8.5,3,182,2
poptop,1.1.0,2,18,2
ez-ipupdate,3.0.11,5,49,2
ez-ipupdate,1.4,1,1,1
ez-ipupdate,3.0.10,1,21,1
ez-ipupdate,1.48,2,10,1
ez-ipupdate,1.1,1,1,1
wget,1.20.1,1,29,3
wget,1.16,1,9,10
wget,1.12,2,8,12
wget,1.14,1,10,10
wget,1.17.1,1,2,8
wget,1.13.4,1,1,10
wget,1.11.4,1,7,12
wget,1.11.1,1,1,12
wget,1.10.1,1,4,13
netatalk,3.0.5,1,35,1
netatalk,3.1.12,1,2,1
netatalk,2.2.1,1,2,1
netatalk,2.2.5,2,11,1
netatalk,3.1.8,1,32,1
curl,7.21.7,1,8,53
curl,7.67.0,2,17,4
curl,7.78.0,1,2,2
curl,7.51.0,1,9,33
curl,7.60.0,2,4,10
curl,7.23.0,1,3,53
curl,7.36.0,3,11,47
curl,7.29.0,3,104,50
curl,7.25.0,1,1,53
curl,7.79.0,1,1,2
curl,7.72.0,1,1,4
curl,7.23.1,1,3,53
curl,7.54.1,1,1,19
curl,7.20.0,1,1,56
curl,7.71.1,3,99,4
curl,7.35.0,2,2,47
curl,7.64.1,1,1,5
curl,7.76.0,1,3,2
curl,7.24.0,1,4,53
curl,7.57.0,2,22,18
curl,7.32.0,1,1,48
curl,7.40.0,1,14,45
curl,7.38.0,2,9,47
curl,7.50.0,1,11,37
curl,7.30.0,1,4,50
curl,7.66.0,1,2,4
curl,7.56.1,1,4,18
curl,7.47.0,1,2,41
curl,7.59.0,1,144,12
curl,7.52.1,1,41,22
curl,7.58.0,1,3,15
curl,7.62.0,1,6,7
curl,7.55.1,1,1,18
lighttpd,1.4.39,3,34,3
lighttpd,1.4.18,2,4,20
lighttpd,1.4.55,1,1,1
lighttpd,1.4.47,1,1,3
lighttpd,1.4.54,2,16,1
lighttpd,1.4.35,2,11,6
lighttpd,1.4.26,1,1,13
lighttpd,1.4.19,1,2,17
lighttpd,1.4.53,1,8,2
lighttpd,1.4.30,1,1,10
lighttpd,1.4.28,1,2,12
lighttpd,1.4.59,1,1,2
lighttpd,1.4.48,1,3,3
lighttpd,1.4.49,1,6,3
lighttpd,1.4.45,1,1,3
bluez,5.41,1,5,24
bluez,5.47,1,1,12
bluez,5.38,1,74,24
bluez,5.37,1,6,24
bluez,5.48,1,1,12
bluez,5.50,1,2,10
e2fsprogs,1.42.13,2,31,2
e2fsprogs,1.41.12,1,1,4
e2fsprogs,1.40.11,1,3,4
e2fsprogs,1.42.4,2,3,4
e2fsprogs,1.38,1,1,5
e2fsprogs,1.42.12,1,1,4
e2fsprogs,1.41.9,1,1,4
e2fsprogs,1.41.11,1,25,4
e2fsprogs,1.43.8,1,2,3
e2fsprogs,1.43.1,1,11,2
e2fsprogs,1.42.7,1,11,4
e2fsprogs,1.42.8,1,4,4
strongswan,5.7.2,1,9,3
strongswan,5.2.1,1,16,14
conntrack,1.4.5,2,26,1
conntrack,1.4.4,1,1,1
conntrack,1.0.0,4,88,1
conntrack,1.0.1,2,11,1
conntrack,1.4.2,1,16,1
dropbear,2016.74,5,37,7
dropbear,2017.75,4,302,4
dropbear,2019.78,3,42,1
dropbear,2018.76,3,25,2
dropbear,2011.54,3,62,12
dropbear,2014.63,1,15,8
dropbear,2012.55,1,23,11
dropbear,2015.67,2,17,8
dropbear,2015.68,1,1,8
coreutils,6.9,1,5,5
dnrd,2.12.1,2,15,1
dnrd,2.10,1,18,4
dnrd,2.19,1,23,1
gdb,6.8,2,2,3
gdb,7.4.1,2,2,3
gdb,6.7.1,1,1,3
gdb,7.11.1,1,1,2
gdb,7.5.1,1,1,2
gdb,6.6,1,19,4
gdb,8.3.1,1,4,1
gdb,7.2,1,4,3
gdb,7.1,1,1,3
gzip,1.5,1,8,3
gzip,1.6,2,9,3
sed,4.2.1,2,9,3
sed,4.0,1,1,3
sed,2.05,1,1,3
sed,4.4,1,5,3
sed,4.2.2,1,4,3
alsa,1.0.26,2,9,10
alsa,1.0.25,2,13,10
bzip2,1.0.6,4,16,4
binutils,2.34,1,2,22
binutils,2.36,1,3,8
binutils,2.31.1,1,1,47
tar,1.26,1,7,8
tar,1.13,3,15,17
tar,1.23,1,2,9
tar,1.28,1,1,8
tar,1.29,1,5,8
inetutils,1.5,1,1,3
inetutils,1.4.1,1,2,4
lrzsz,0.12.20,3,55,1
samba,3.6.22,1,8,75
