CWE-264,61
CWE-119,406
CWE-476,124
CWE-399,66
CWE-noinfo,94
CWE-20,203
CWE-295,19
CWE-190,97
CWE-22,40
CWE-125,267
CWE-94,29
CWE-120,30
CWE-416,60
CWE-Other,330
CWE-19,10
CWE-254,15
CWE-17,12
CWE-772,20
CWE-362,29
CWE-400,27
CWE-287,29
CWE-18,1
CWE-200,70
CWE-835,24
CWE-284,11
CWE-330,15
CWE-682,1
CWE-79,28
CWE-346,4
CWE-361,1
CWE-189,90
CWE-770,15
CWE-209,1
CWE-763,2
CWE-191,11
CWE-843,3
CWE-787,144
CWE-401,23
CWE-427,5
CWE-327,10
CWE-310,58
CWE-320,5
CWE-426,6
CWE-404,4
CWE-203,15
CWE-78,7
CWE-59,27
CWE-122,6
CWE-326,5
CWE-358,3
CWE-909,4
CWE-732,6
CWE-77,6
CWE-674,14
CWE-908,5
CWE-252,5
CWE-269,9
CWE-755,5
CWE-415,18
CWE-617,14
CWE-754,3
CWE-776,1
CWE-601,2
CWE-332,1
CWE-331,2
CWE-924,1
CWE-285,1
CWE-668,4
CWE-665,1
CWE-290,1
CWE-522,6
CWE-255,4
CWE-99,1
CWE-345,3
CWE-863,7
CWE-93,1
CWE-347,4
CWE-276,8
CWE-681,2
CWE-131,2
CWE-369,16
CWE-305,1
CWE-352,4
CWE-834,2
CWE-134,7
CWE-89,10
CWE-193,3
CWE-311,1
CWE-319,7
CWE-354,1
CWE-613,1
CWE-918,4
CWE-532,3
CWE-384,1
CWE-502,4
CWE-88,2
CWE-74,5
CWE-611,1
CWE-824,2
CWE-862,4
CWE-367,1
CWE-706,1
CWE-129,3
CWE-444,2
CWE-312,2
CWE-16,3
CWE-417,1
CWE-266,2
CWE-662,1
CWE-434,2
CWE-838,1
CWE-116,1
CWE-680,1
CWE-916,1
CWE-273,1
