360,40,24,45,233
asus,266,294,261,2159
buffalo,7,6,4,62
dlink,324,112,327,1342
foscam,4,0,1,11
linksys,51,38,60,488
mercury,1,2,0,9
mikrotik,30,0,30,202
netgear,500,223,204,1982
qnap,22,6,16,97
supermicro,175,137,96,712
synology,64,0,67,292
tenda,319,172,222,1498
tomato-shibby,879,380,384,5826
tp-link,701,578,579,7592
trendnet,305,122,123,1380
ubiquiti,976,365,370,5926
xerox,12,0,24,128
