ubiquiti,opkg,1,1002.00
ubiquiti,openssl,2,363.50
ubiquiti,net-snmp,1,179.00
ubiquiti,lldp,4,375.75
ubiquiti,mtd-utils,1,631.00
ubiquiti,lbd,1,472.00
ubiquiti,tar,1,126.00
ubiquiti,iptables,1,762.00
ubiquiti,bridge-utils,1,105.00
ubiquiti,sysstat,2,273.50
