360,20,15,1470
Asus,332,197,10911
Buffalo,8,4,280
Dlink,534,59,16034
Foscam,100,4,45
Linksys,27,20,3118
Mercury,318,50,43
Microstrain,3,0,0
Mikrotik,55,55,3994
Netgear,229,121,17083
Qnap,335,4,509
Se,29,1,62
Supermicro,439,97,8577
Synology,61,48,3138
Tenda,318,55,7450
Ti,7,0,0
Tomato-Shibby,313,313,16128
Tp-Link,1818,595,43500
Trendnet,417,160,6397
Ubiquiti,1100,948,132116
Xerox,119,3,2593
Total,6582,2749,273448
