360,20,20
Asus,332,332
Buffalo,8,8
Dlink,557,534
Foscam,102,100
Linksys,27,27
Mercury,324,318
Microstrain,3,3
Mikrotik,55,55
Netgear,245,229
Qnap,335,335
Se,32,29
Supermicro,439,439
Synology,61,61
Tenda,318,318
Ti,11,7
Tomato-Shibby,321,313
TP-Link,1978,1818
Trendnet,431,417
Ubiquiti,1156,1100
Xerox,146,119
